1,0
10,1
100,2
1000,3
10000,4
100000,5
100001,6
100002,7
100003,8
100004,9
100006,10
100007,11
100008,12
100009,13
10001,14
100010,15
100011,16
100012,17
100013,18
100014,19
100015,20
100016,21
100017,22
100018,23
100019,24
10002,25
100020,26
100021,27
100022,28
100023,29
100024,30
100025,31
100026,32
100027,33
100028,34
100029,35
10003,36
100030,37
100031,38
100032,39
100033,40
100034,41
100035,42
100036,43
100037,44
100038,45
100039,46
10004,47
100040,48
100041,49
100042,50
100043,51
100044,52
100045,53
100046,54
100047,55
100048,56
100049,57
10005,58
100052,59
100054,60
100055,61
100056,62
100057,63
100059,64
100060,65
100061,66
100062,67
100063,68
100064,69
100065,70
100066,71
100067,72
100069,73
10007,74
100070,75
100071,76
100072,77
100073,78
100074,79
100075,80
100076,81
100077,82
100078,83
100079,84
10008,85
100080,86
100081,87
100083,88
100084,89
100085,90
100086,91
100087,92
100088,93
100089,94
10009,95
100091,96
100092,97
100093,98
100095,99
100096,100
100098,101
100099,102
1001,103
10010,104
100100,105
100101,106
100102,107
100103,108
100104,109
100105,110
100106,111
100107,112
100108,113
100109,114
10011,115
100110,116
100111,117
100112,118
100113,119
100114,120
100115,121
100116,122
100117,123
100118,124
100119,125
10012,126
100120,127
100121,128
100122,129
100123,130
100124,131
100125,132
100126,133
100127,134
100128,135
10013,136
100130,137
100132,138
100133,139
100134,140
100135,141
100136,142
100137,143
100138,144
100139,145
100140,146
100141,147
100142,148
100143,149
100144,150
100145,151
100148,152
100149,153
10015,154
100150,155
100151,156
100152,157
100153,158
100154,159
100155,160
100156,161
100157,162
100158,163
100159,164
10016,165
100160,166
100161,167
100162,168
100165,169
100166,170
100168,171
100169,172
10017,173
100170,174
100171,175
100172,176
100173,177
100174,178
100175,179
100176,180
100177,181
100178,182
100179,183
10018,184
100180,185
100182,186
100183,187
100184,188
100185,189
100186,190
100187,191
100188,192
100189,193
10019,194
100190,195
100191,196
100192,197
100193,198
100195,199
100196,200
100197,201
100198,202
100199,203
1002,204
10020,205
100200,206
100201,207
100203,208
100204,209
100205,210
100207,211
100208,212
100209,213
100210,214
100211,215
100212,216
100213,217
100214,218
100216,219
100217,220
100218,221
100219,222
10022,223
100220,224
100221,225
100222,226
100223,227
100224,228
100225,229
100226,230
100227,231
100228,232
10023,233
100230,234
100231,235
100232,236
